小区,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,合计
1,46317,91635,73508,59006,8616,67055,11590,97036,31078,16087,128516,159996,53264,11482,120421,73041,1048648
2,109762,91635,64444,241635,3951,32679,7231,2830,31078,37074,13791,37776,70149,12010,5090,8688,769823
3,121544,91635,46317,80668,4107,8478,3232,5258,3166,3154,4497,6350,43070,37074,3034,3166,464750
4,272904,146016,91635,73508,2566,76571,3819,35167,32613,15146,48875,95783,84036,7483,41074,6164,1033360
5,14864,31078,8364,20806,0,0,0,0,0,0,0,0,0,0,0,0,75112
6,63559,162994,13089,112488,0,0,0,0,0,0,0,0,0,0,0,0,352130
7,61059,31078,53804,127017,0,0,0,0,0,0,0,0,0,0,0,0,272958
8,62858,11842,7009,53846,0,0,0,0,0,0,0,0,0,0,0,0,135555
9,5894,11093,2344,2764,0,0,0,0,0,0,0,0,0,0,0,0,22095
10,4095,1817,1637,2296,0,0,0,0,0,0,0,0,0,0,0,0,9845
11,7093,5894,3022,4743,0,0,0,0,0,0,0,0,0,0,0,0,20752
12,64159,13425,12628,54865,0,0,0,0,0,0,0,0,0,0,0,0,145077
13,71055,31078,7093,97036,0,0,0,0,0,0,0,0,0,0,0,0,206262
14,21082,21082,11782,12868,0,0,0,0,0,0,0,0,0,0,0,0,66814
15,90722,11884,18444,31546,0,0,0,0,0,0,0,0,0,0,0,0,152596
16,40072,7093,2896,74586,0,0,0,0,0,0,0,0,0,0,0,0,124647
合计,1057039,761279,418016,1049678,19240,184783,25872,140291,97935,71461,195679,299905,250519,68049,169619,91059,
